Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Nashville-Davidson, Tennessee,0.079,0.059,1.66,1.72,,,,,
New Haven, Connecticut,0.304,0.292,1.01,1.1,,,,,
New Orleans, Louisiana,0.188,0.202,1.28,1.26,,,,,
New York, New York,0.545,0.544,0.63,0.63,,,,,
Newark, New Jersey,0.392,0.403,0.86,0.89,,,,,
Newport News, Virginia,0.095,0.084,1.63,1.69,,,,,
Norfolk, Virginia,0.106,0.15,1.58,1.54,,,,,
Norman, Oklahoma,0.07,0.043,1.83,1.87,,,,,
North Charleston, South Carolina,0.127,0.107,1.52,1.46,,,,,
North Las Vegas, Nevada,0.07,0.056,1.84,1.89,,,,,
Norwalk, California,0.046,0.055,2.21,2.27,,,,,
Oakland, California,0.173,0.167,1.44,1.45,,,,,
Oceanside, California,0.056,0.036,1.89,1.92,,,,,
Odessa, Texas,0.044,0.052,1.83,1.78,,,,,
Oklahoma City, Oklahoma,0.06,0.057,1.78,1.82,,,,,
Olathe, Kansas,0.046,0.027,2.01,2.01,,,,,
Omaha, Nebraska,0.082,0.092,1.68,1.66,,,,,
Ontario, California,0.046,0.039,2.04,2.15,,,,,
Orange, California,0.037,0.05,2.12,2.16,,,,,
Orlando, Florida,0.094,0.082,1.45,1.5,,,,,
Overland Park, Kansas,0.039,0.032,1.85,1.85,,,,,
Oxnard, California,0.043,0.046,2.2,2.1,,,,,
Palm Bay, Florida,0.062,0.03,1.6,1.75,,,,,
Palmdale, California,0.081,0.056,1.95,2.02,,,,,
Paradise, Nevada,0.152,0.154,1.41,1.5,,,,,
Pasadena, California,0.097,0.114,1.62,1.54,,,,,
Pasadena, Texas,0.058,0.057,1.78,1.88,,,,,
Paterson, New Jersey,0.336,0.33,1.05,1,,,,,
Pearland, Texas,0.024,0.014,1.99,2.18,,,,,
Pembroke Pines, Florida,0.06,0.043,1.83,1.83,,,,,
Peoria, Arizona,0.056,0.045,1.85,1.91,,,,,
Peoria, Illinois,0.165,0.154,1.44,1.45,,,,,
Philadelphia, Pennsylvania,0.311,0.295,1.03,1.05,,,,,
Phoenix, Arizona,0.091,0.084,1.66,1.71,,,,,
Pittsburgh, Pennsylvania,0.239,0.234,1.18,1.16,,,,,
Plano, Texas,0.028,0.024,1.9,1.93,,,,,
Pomona, California,0.065,0.053,2.07,2.27,,,,,
Pompano Beach, Florida,0.078,0.075,1.49,1.44,,,,,
Port St. Lucie, Florida,0.036,0.026,1.76,1.79,,,,,
Portland, Oregon,0.147,0.137,1.49,1.49,,,,,
Providence, Rhode Island,0.217,0.18,1.21,1.27,,,,,
Provo, Utah,0.039,0.045,2.11,2.17,,,,,
Pueblo, Colorado,0.12,0.081,1.63,1.67,,,,,
Raleigh, North Carolina,0.053,0.06,1.69,1.74,,,,,
Rancho Cucamonga, California,0.027,0.03,2.15,2.12,,,,,
Reno, Nevada,0.1,0.108,1.64,1.73,,,,,
Renton, Washington,0.055,0.06,1.78,1.87,,,,,
Rialto, California,0.065,0.045,2.22,2.22,,,,,
