id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
8581503,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.65,$350.00 ,Entire home/apt,1,2,2
15437061,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.02,$410.00 ,Entire home/apt,1,3,4
29947774,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.95,$316.00 ,Entire home/apt,1,2,2
21114489,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,30.92,$349.00 ,Entire home/apt,1,1,1
26874979,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.59,$360.00 ,Entire home/apt,2,3,6
21345931,Australia,NSW,BALLINA SHIRE COUNCIL,House,34.32,$480.00 ,Entire home/apt,2,3,3
17967737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,34.40,$450.00 ,Entire home/apt,1,2,3
16137090,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.29,$305.00 ,Entire home/apt,1,1,2
29764809,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.53,$475.00 ,Entire home/apt,1,1,2
23984416,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.60,$400.00 ,Entire home/apt,2.5,2,2
18254182,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.66,$335.00 ,Entire home/apt,2,3,3
26673351,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.47,$298.00 ,Entire home/apt,1,2,2
12523903,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,32.80,$400.00 ,Entire home/apt,1,1,1
30098089,Australia,NSW,BALLINA SHIRE COUNCIL,House,31.21,$450.00 ,Entire home/apt,2.5,5,6
23633402,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.17,$289.00 ,Entire home/apt,1,1,1
15793424,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,25.74,$335.00 ,Entire home/apt,1,1,2
29065279,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.43,$499.00 ,Entire home/apt,2.5,5,6
26928490,Australia,NSW,BALLINA SHIRE COUNCIL,House,32.36,$500.00 ,Entire home/apt,2,3,3
10078915,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,33.03,$500.00 ,Entire home/apt,1,1,2
21843205,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,31.11,$420.00 ,Entire home/apt,1,2,2
9050232,Australia,NSW,BALLINA SHIRE COUNCIL,House,34.71,$470.00 ,Entire home/apt,1,2,2
29130916,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.02,$299.00 ,Entire home/apt,1.5,3,4
917015,Australia,NSW,BALLINA SHIRE COUNCIL,House,31.11,$550.00 ,Entire home/apt,3,4,4
8907191,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,30.87,$335.00 ,Entire home/apt,2,3,4
12813063,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.69,$380.00 ,Entire home/apt,1,2,2
18921400,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,29.90,$500.00 ,Entire home/apt,3,4,6
30779619,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,25.65,$339.00 ,Entire home/apt,0,0,2
23946212,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,27.24,$351.00 ,Entire home/apt,1,1,1
11955991,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,28.63,$321.00 ,Entire home/apt,1.5,1,2
29767849,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.40,$435.00 ,Entire home/apt,2,2,3
29783942,Australia,NSW,BALLINA SHIRE COUNCIL,House,30.16,$525.00 ,Entire home/apt,1.5,1,2
18879998,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,33.15,$505.00 ,Entire home/apt,1,2,2
